Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscriber Type,Zip Code
913367,842,8/31/2015 20:08,San Francisco Caltrain (Townsend at 4th),70,8/31/2015 20:22,Spear at Folsom,49,652,Customer,94105
913364,444,8/31/2015 20:06,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 20:14,Powell Street BART,39,134,Subscriber,94105
913363,489,8/31/2015 20:06,Howard at 2nd,63,8/31/2015 20:14,San Francisco Caltrain 2 (330 Townsend),69,465,Subscriber,94070
913361,236,8/31/2015 20:05,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 20:09,Townsend at 7th,65,270,Subscriber,94107
913356,217,8/31/2015 20:03,Market at Sansome,77,8/31/2015 20:07,Clay at Battery,41,505,Subscriber,94301
913353,577,8/31/2015 20:01,Yerba Buena Center of the Arts (3rd @ Howard),68,8/31/2015 20:11,2nd at Townsend,61,66,Customer,43214
913351,290,8/31/2015 20:01,Howard at 2nd,63,8/31/2015 20:06,Market at 4th,76,401,Subscriber,94107
913349,559,8/31/2015 20:00,Harry Bridges Plaza (Ferry Building),50,8/31/2015 20:09,2nd at Townsend,61,587,Subscriber,94107
913348,609,8/31/2015 19:59,Yerba Buena Center of the Arts (3rd @ Howard),68,8/31/2015 20:09,Market at 10th,67,877,Subscriber,94102
913346,466,8/31/2015 19:58,Market at 4th,76,8/31/2015 20:06,San Francisco Caltrain 2 (330 Townsend),69,450,Subscriber,94107
913345,482,8/31/2015 19:58,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 20:06,Powell Street BART,39,425,Subscriber,94107
913344,326,8/31/2015 19:55,Spear at Folsom,49,8/31/2015 20:01,Davis at Jackson,42,672,Subscriber,94111
913343,426,8/31/2015 19:51,5th at Howard,57,8/31/2015 19:58,Townsend at 7th,65,457,Subscriber,94107
913342,471,8/31/2015 19:49,South Van Ness at Market,66,8/31/2015 19:57,Market at 4th,76,450,Subscriber,94108
913341,368,8/31/2015 19:49,Post at Kearny,47,8/31/2015 19:55,5th at Howard,57,214,Subscriber,94107
913340,616,8/31/2015 19:48,2nd at Townsend,61,8/31/2015 19:58,Steuart at Market,74,354,Subscriber,94609
913338,403,8/31/2015 19:47,2nd at Townsend,61,8/31/2015 19:54,Market at Sansome,77,364,Subscriber,94708
913337,384,8/31/2015 19:47,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 19:54,2nd at South Park,64,277,Subscriber,94107
913335,472,8/31/2015 19:47,Market at 4th,76,8/31/2015 19:55,San Francisco Caltrain 2 (330 Townsend),69,287,Subscriber,94107
913329,509,8/31/2015 19:42,Mechanics Plaza (Market at Battery),75,8/31/2015 19:51,Civic Center BART (7th at Market),72,317,Subscriber,94103
913326,905,8/31/2015 19:42,Mountain View Caltrain Station,28,8/31/2015 19:57,Rengstorff Avenue / California Street,33,92,Subscriber,94040
913324,375,8/31/2015 19:41,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 19:47,2nd at South Park,64,558,Subscriber,94105
913322,782,8/31/2015 19:41,Golden Gate at Polk,59,8/31/2015 19:54,Spear at Folsom,49,498,Subscriber,94105
913321,191,8/31/2015 19:40,Steuart at Market,74,8/31/2015 19:43,Mechanics Plaza (Market at Battery),75,462,Subscriber,94107
913320,792,8/31/2015 19:39,Market at 4th,76,8/31/2015 19:53,2nd at Townsend,61,437,Subscriber,94107
913318,471,8/31/2015 19:37,Embarcadero at Folsom,51,8/31/2015 19:45,Grant Avenue at Columbus Avenue,73,482,Subscriber,94133
913317,441,8/31/2015 19:34,Steuart at Market,74,8/31/2015 19:41,Embarcadero at Sansome,60,355,Subscriber,94133
913316,300,8/31/2015 19:34,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 19:39,Townsend at 7th,65,368,Subscriber,94107
913315,518,8/31/2015 19:33,Steuart at Market,74,8/31/2015 19:42,2nd at Townsend,61,463,Subscriber,94107
913314,340,8/31/2015 19:33,2nd at South Park,64,8/31/2015 19:39,Steuart at Market,74,560,Subscriber,94607
913313,387,8/31/2015 19:33,Market at Sansome,77,8/31/2015 19:39,Powell Street BART,39,423,Subscriber,94105
913311,144,8/31/2015 19:31,Howard at 2nd,63,8/31/2015 19:33,Market at Sansome,77,282,Subscriber,94105
913309,344,8/31/2015 19:30,2nd at Townsend,61,8/31/2015 19:36,Howard at 2nd,63,501,Subscriber,94965
913308,185,8/31/2015 19:30,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 19:33,2nd at Townsend,61,541,Subscriber,94158
913307,811,8/31/2015 19:30,Steuart at Market,74,8/31/2015 19:43,San Francisco Caltrain (Townsend at 4th),70,548,Subscriber,94107
913306,625,8/31/2015 19:29,2nd at South Park,64,8/31/2015 19:39,San Francisco City Hall,58,492,Subscriber,94115
913305,306,8/31/2015 19:27,Davis at Jackson,42,8/31/2015 19:32,Temporary Transbay Terminal (Howard at Beale),55,687,Subscriber,94608
913304,206,8/31/2015 19:27,Embarcadero at Vallejo,48,8/31/2015 19:30,Steuart at Market,74,355,Subscriber,94610
913303,296,8/31/2015 19:27,2nd at South Park,64,8/31/2015 19:32,Spear at Folsom,49,672,Subscriber,94105
913301,1049,8/31/2015 19:25,Market at Sansome,77,8/31/2015 19:43,South Van Ness at Market,66,608,Customer,90038
913299,1074,8/31/2015 19:23,Market at 10th,67,8/31/2015 19:41,Embarcadero at Sansome,60,434,Customer,31
913298,434,8/31/2015 19:23,2nd at Townsend,61,8/31/2015 19:30,Market at Sansome,77,505,Subscriber,94705
913297,501,8/31/2015 19:21,2nd at Townsend,61,8/31/2015 19:29,Spear at Folsom,49,607,Subscriber,94107
913296,765,8/31/2015 19:20,Howard at 2nd,63,8/31/2015 19:33,Townsend at 7th,65,564,Subscriber,94116
913295,357,8/31/2015 19:19,Market at Sansome,77,8/31/2015 19:25,Powell at Post (Union Square),71,388,Subscriber,94109
913294,213,8/31/2015 19:19,2nd at South Park,64,8/31/2015 19:23,Howard at 2nd,63,193,Subscriber,94107
913293,354,8/31/2015 19:19,Davis at Jackson,42,8/31/2015 19:25,Embarcadero at Sansome,60,502,Subscriber,94133
913292,448,8/31/2015 19:19,Market at Sansome,77,8/31/2015 19:26,Embarcadero at Bryant,54,524,Subscriber,94105
913291,390,8/31/2015 19:18,Davis at Jackson,42,8/31/2015 19:25,Embarcadero at Sansome,60,470,Subscriber,94133
913290,273,8/31/2015 19:18,Spear at Folsom,49,8/31/2015 19:23,2nd at Townsend,61,606,Subscriber,89451
913289,445,8/31/2015 19:18,Market at Sansome,77,8/31/2015 19:26,2nd at South Park,64,621,Subscriber,94107
913288,199,8/31/2015 19:18,Howard at 2nd,63,8/31/2015 19:21,2nd at South Park,64,672,Subscriber,94107
913287,847,8/31/2015 19:17,Townsend at 7th,65,8/31/2015 19:31,Steuart at Market,74,462,Subscriber,94107
913286,1036,8/31/2015 19:17,Clay at Battery,41,8/31/2015 19:34,San Francisco Caltrain (Townsend at 4th),70,535,Subscriber,95014
913285,460,8/31/2015 19:15,Embarcadero at Folsom,51,8/31/2015 19:23,Embarcadero at Sansome,60,553,Subscriber,94133
913284,322,8/31/2015 19:15,Broadway St at Battery St,82,8/31/2015 19:20,Mechanics Plaza (Market at Battery),75,512,Subscriber,94619
913283,597,8/31/2015 19:14,Market at 4th,76,8/31/2015 19:24,South Van Ness at Market,66,450,Subscriber,94103
913282,235,8/31/2015 19:13,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 19:17,Townsend at 7th,65,462,Subscriber,94306
913281,455,8/31/2015 19:12,Townsend at 7th,65,8/31/2015 19:19,Civic Center BART (7th at Market),72,370,Subscriber,94608
913280,467,8/31/2015 19:11,Market at Sansome,77,8/31/2015 19:19,Embarcadero at Bryant,54,426,Subscriber,94107
913279,744,8/31/2015 19:11,South Van Ness at Market,66,8/31/2015 19:23,Temporary Transbay Terminal (Howard at Beale),55,96,Subscriber,94611
913278,1128,8/31/2015 19:10,California Ave Caltrain Station,36,8/31/2015 19:29,San Antonio Caltrain Station,29,716,Subscriber,94024
913277,895,8/31/2015 19:10,Embarcadero at Vallejo,48,8/31/2015 19:25,San Francisco Caltrain (Townsend at 4th),70,158,Subscriber,94065
913276,230,8/31/2015 19:09,2nd at South Park,64,8/31/2015 19:13,Market at Sansome,77,359,Subscriber,94587
913275,487,8/31/2015 19:09,Temporary Transbay Terminal (Howard at Beale),55,8/31/2015 19:17,San Francisco Caltrain (Townsend at 4th),70,463,Subscriber,94117
913274,576,8/31/2015 19:08,Market at 4th,76,8/31/2015 19:18,2nd at Townsend,61,332,Subscriber,94107
913273,264,8/31/2015 19:08,Redwood City Caltrain Station,22,8/31/2015 19:12,Redwood City Medical Center,26,700,Subscriber,94063
913272,442,8/31/2015 19:06,5th at Howard,57,8/31/2015 19:14,Market at 10th,67,408,Subscriber,94103
913270,1432,8/31/2015 19:06,2nd at South Park,64,8/31/2015 19:30,Washington at Kearny,46,395,Subscriber,94133
913269,260,8/31/2015 19:05,Embarcadero at Vallejo,48,8/31/2015 19:10,Harry Bridges Plaza (Ferry Building),50,292,Subscriber,94131
913268,259,8/31/2015 19:05,San Francisco Caltrain (Townsend at 4th),70,8/31/2015 19:09,2nd at Townsend,61,607,Subscriber,95134
913267,780,8/31/2015 19:04,Embarcadero at Vallejo,48,8/31/2015 19:17,San Francisco Caltrain 2 (330 Townsend),69,521,Subscriber,94403
913266,229,8/31/2015 19:04,Cowper at University,37,8/31/2015 19:08,Palo Alto Caltrain Station,34,41,Subscriber,94107
913265,658,8/31/2015 19:04,Townsend at 7th,65,8/31/2015 19:15,Spear at Folsom,49,606,Subscriber,94608
913264,431,8/31/2015 19:04,2nd at Townsend,61,8/31/2015 19:11,Steuart at Market,74,418,Subscriber,94612
913263,315,8/31/2015 19:03,Mountain View Caltrain Station,28,8/31/2015 19:09,Evelyn Park and Ride,30,141,Subscriber,94041
913258,414,8/31/2015 19:02,5th at Howard,57,8/31/2015 19:09,Steuart at Market,74,352,Subscriber,94903
913256,397,8/31/2015 19:02,Mountain View Caltrain Station,28,8/31/2015 19:09,Castro Street and El Camino Real,32,639,Subscriber,94103
913254,286,8/31/2015 19:02,Mountain View Caltrain Station,28,8/31/2015 19:06,Castro Street and El Camino Real,32,148,Subscriber,94022
913251,660,8/31/2015 19:01,Embarcadero at Sansome,60,8/31/2015 19:12,Temporary Transbay Terminal (Howard at Beale),55,356,Subscriber,94602
913250,226,8/31/2015 18:57,San Francisco Caltrain (Townsend at 4th),70,8/31/2015 19:01,2nd at Townsend,61,501,Customer,98103
913248,291,8/31/2015 18:56,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 19:01,2nd at South Park,64,395,Subscriber,94107
913247,415,8/31/2015 18:55,Market at Sansome,77,8/31/2015 19:02,Grant Avenue at Columbus Avenue,73,659,Subscriber,94133
913246,769,8/31/2015 18:55,San Francisco Caltrain (Townsend at 4th),70,8/31/2015 19:08,Harry Bridges Plaza (Ferry Building),50,587,Subscriber,94107
913245,727,8/31/2015 18:55,San Francisco Caltrain (Townsend at 4th),70,8/31/2015 19:07,Davis at Jackson,42,687,Subscriber,94111
913244,225,8/31/2015 18:55,Redwood City Caltrain Station,22,8/31/2015 18:59,Mezes Park,83,699,Subscriber,94063
913243,756,8/31/2015 18:55,San Francisco Caltrain (Townsend at 4th),70,8/31/2015 19:07,Davis at Jackson,42,470,Subscriber,94111
913242,452,8/31/2015 18:53,Market at 4th,76,8/31/2015 19:00,Market at 10th,67,434,Subscriber,94117
913241,267,8/31/2015 18:54,Clay at Battery,41,8/31/2015 18:58,Howard at 2nd,63,421,Subscriber,94107
913237,142,8/31/2015 18:51,Howard at 2nd,63,8/31/2015 18:53,Market at Sansome,77,361,Subscriber,94114
913236,391,8/31/2015 18:50,Steuart at Market,74,8/31/2015 18:57,Embarcadero at Sansome,60,409,Subscriber,94133
913235,692,8/31/2015 18:50,Embarcadero at Folsom,51,8/31/2015 19:01,2nd at Townsend,61,364,Subscriber,94062
913234,659,8/31/2015 18:49,Market at Sansome,77,8/31/2015 19:00,Embarcadero at Bryant,54,335,Subscriber,94105
913233,475,8/31/2015 18:49,Beale at Market,56,8/31/2015 18:57,Powell Street BART,39,440,Subscriber,94577
913232,421,8/31/2015 18:49,Embarcadero at Folsom,51,8/31/2015 18:56,2nd at Townsend,61,267,Subscriber,94107
913231,515,8/31/2015 18:49,Powell Street BART,39,8/31/2015 18:57,Temporary Transbay Terminal (Howard at Beale),55,412,Subscriber,94602
913230,395,8/31/2015 18:48,Mechanics Plaza (Market at Battery),75,8/31/2015 18:55,Powell Street BART,39,469,Subscriber,94103
913228,886,8/31/2015 18:47,Harry Bridges Plaza (Ferry Building),50,8/31/2015 19:02,San Francisco Caltrain (Townsend at 4th),70,387,Subscriber,94107
913227,533,8/31/2015 18:47,Market at 10th,67,8/31/2015 18:56,Washington at Kearny,46,547,Subscriber,94103
913226,182,8/31/2015 18:46,Townsend at 7th,65,8/31/2015 18:49,San Francisco Caltrain (Townsend at 4th),70,607,Subscriber,95051
913225,521,8/31/2015 18:45,2nd at Townsend,61,8/31/2015 18:54,Market at Sansome,77,236,Subscriber,94401
913224,1015,8/31/2015 18:45,Beale at Market,56,8/31/2015 19:02,Market at 10th,67,531,Subscriber,94103
913223,738,8/31/2015 18:45,Santa Clara County Civic Center,80,8/31/2015 18:57,San Pedro Square,6,308,Subscriber,95110
913222,248,8/31/2015 18:44,Broadway St at Battery St,82,8/31/2015 18:48,Steuart at Market,74,409,Subscriber,94702
913221,571,8/31/2015 18:44,2nd at Townsend,61,8/31/2015 18:53,Post at Kearny,47,392,Subscriber,94109
913220,136,8/31/2015 18:44,Embarcadero at Folsom,51,8/31/2015 18:46,Embarcadero at Bryant,54,618,Subscriber,94115
913219,455,8/31/2015 18:44,5th at Howard,57,8/31/2015 18:51,Temporary Transbay Terminal (Howard at Beale),55,456,Subscriber,94530
913218,584,8/31/2015 18:43,Steuart at Market,74,8/31/2015 18:53,San Francisco Caltrain (Townsend at 4th),70,470,Subscriber,94105
913217,797,8/31/2015 18:43,San Jose Diridon Caltrain Station,2,8/31/2015 18:56,SJSU - San Salvador at 9th,16,14,Subscriber,95112
913216,559,8/31/2015 18:41,San Jose Diridon Caltrain Station,2,8/31/2015 18:51,Ryland Park,84,702,Subscriber,95110
913215,439,8/31/2015 18:40,Market at 4th,76,8/31/2015 18:48,San Francisco Caltrain (Townsend at 4th),70,652,Subscriber,2139
913214,334,8/31/2015 18:40,5th at Howard,57,8/31/2015 18:45,San Francisco Caltrain 2 (330 Townsend),69,405,Subscriber,95050
913213,332,8/31/2015 18:39,Mountain View Caltrain Station,28,8/31/2015 18:45,Castro Street and El Camino Real,32,147,Subscriber,94041
913212,73,8/31/2015 18:39,5th at Howard,57,8/31/2015 18:40,5th at Howard,57,456,Subscriber,94107
913211,7558,8/31/2015 18:38,Embarcadero at Sansome,60,8/31/2015 20:44,Embarcadero at Sansome,60,385,Customer,34
913210,7472,8/31/2015 18:38,Embarcadero at Sansome,60,8/31/2015 20:43,Embarcadero at Sansome,60,585,Customer,34
913209,375,8/31/2015 18:38,Embarcadero at Sansome,60,8/31/2015 18:45,Steuart at Market,74,557,Subscriber,94612
913208,265,8/31/2015 18:38,Market at Sansome,77,8/31/2015 18:42,Temporary Transbay Terminal (Howard at Beale),55,461,Subscriber,94610
913207,286,8/31/2015 18:38,Embarcadero at Sansome,60,8/31/2015 18:42,Steuart at Market,74,279,Subscriber,94609
913205,554,8/31/2015 18:37,Mountain View Caltrain Station,28,8/31/2015 18:46,Rengstorff Avenue / California Street,33,251,Subscriber,94043
913204,453,8/31/2015 18:36,Embarcadero at Bryant,54,8/31/2015 18:44,San Francisco Caltrain 2 (330 Townsend),69,594,Customer,94105
913203,433,8/31/2015 18:36,San Jose Diridon Caltrain Station,2,8/31/2015 18:44,Paseo de San Antonio,7,679,Subscriber,95112
913202,435,8/31/2015 18:36,San Jose Diridon Caltrain Station,2,8/31/2015 18:44,Paseo de San Antonio,7,688,Subscriber,95113
913201,464,8/31/2015 18:36,Market at 10th,67,8/31/2015 18:44,Powell at Post (Union Square),71,382,Subscriber,94122
913199,700,8/31/2015 18:34,Market at Sansome,77,8/31/2015 18:46,San Francisco Caltrain 2 (330 Townsend),69,611,Subscriber,94303
913198,353,8/31/2015 18:34,Townsend at 7th,65,8/31/2015 18:40,Townsend at 7th,65,370,Subscriber,94118
913197,692,8/31/2015 18:34,Market at 10th,67,8/31/2015 18:45,San Francisco Caltrain 2 (330 Townsend),69,878,Subscriber,94306
913195,350,8/31/2015 18:34,Market at Sansome,77,8/31/2015 18:39,Temporary Transbay Terminal (Howard at Beale),55,463,Subscriber,94611
913193,355,8/31/2015 18:32,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 18:38,5th at Howard,57,405,Subscriber,94103
913191,515,8/31/2015 18:32,San Francisco Caltrain (Townsend at 4th),70,8/31/2015 18:40,Temporary Transbay Terminal (Howard at Beale),55,527,Subscriber,94707
913189,220,8/31/2015 18:31,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 18:35,Townsend at 7th,65,606,Subscriber,94103
913186,1280,8/31/2015 18:31,San Francisco Caltrain (Townsend at 4th),70,8/31/2015 18:52,Clay at Battery,41,417,Subscriber,94133
913185,451,8/31/2015 18:30,Civic Center BART (7th at Market),72,8/31/2015 18:38,San Francisco Caltrain 2 (330 Townsend),69,277,Customer,78233
913184,809,8/31/2015 18:30,Mechanics Plaza (Market at Battery),75,8/31/2015 18:43,Golden Gate at Polk,59,600,Customer,94597
913183,226,8/31/2015 18:30,2nd at Folsom,62,8/31/2015 18:34,Market at Sansome,77,621,Subscriber,94612
913169,178,8/31/2015 18:26,Temporary Transbay Terminal (Howard at Beale),55,8/31/2015 18:29,Beale at Market,56,531,Subscriber,94030
913166,591,8/31/2015 18:25,Harry Bridges Plaza (Ferry Building),50,8/31/2015 18:35,Powell at Post (Union Square),71,291,Subscriber,94111
913165,269,8/31/2015 18:24,Spear at Folsom,49,8/31/2015 18:29,Howard at 2nd,63,361,Subscriber,94602
913164,389,8/31/2015 18:24,Townsend at 7th,65,8/31/2015 18:30,2nd at Townsend,61,236,Subscriber,94107
913163,1244,8/31/2015 18:23,Embarcadero at Sansome,60,8/31/2015 18:44,San Francisco Caltrain 2 (330 Townsend),69,390,Customer,19134
913162,437,8/31/2015 18:23,Embarcadero at Folsom,51,8/31/2015 18:30,San Francisco Caltrain 2 (330 Townsend),69,410,Subscriber,94303
913161,1283,8/31/2015 18:23,Embarcadero at Sansome,60,8/31/2015 18:44,San Francisco Caltrain 2 (330 Townsend),69,526,Customer,19127
913160,537,8/31/2015 18:23,Market at 4th,76,8/31/2015 18:32,San Francisco Caltrain (Townsend at 4th),70,274,Subscriber,94002
913159,241,8/31/2015 18:22,Temporary Transbay Terminal (Howard at Beale),55,8/31/2015 18:26,Steuart at Market,74,470,Subscriber,94965
913158,1152,8/31/2015 18:22,Yerba Buena Center of the Arts (3rd @ Howard),68,8/31/2015 18:41,Golden Gate at Polk,59,420,Subscriber,94043
913157,331,8/31/2015 18:21,5th at Howard,57,8/31/2015 18:26,San Francisco Caltrain 2 (330 Townsend),69,407,Subscriber,94402
913156,176,8/31/2015 18:20,Townsend at 7th,65,8/31/2015 18:23,San Francisco Caltrain 2 (330 Townsend),69,508,Subscriber,94063
913155,296,8/31/2015 18:20,Commercial at Montgomery,45,8/31/2015 18:25,Yerba Buena Center of the Arts (3rd @ Howard),68,877,Subscriber,94107
913153,305,8/31/2015 18:20,2nd at Townsend,61,8/31/2015 18:25,2nd at Folsom,62,621,Subscriber,94107
913152,267,8/31/2015 18:19,Market at Sansome,77,8/31/2015 18:24,Harry Bridges Plaza (Ferry Building),50,475,Subscriber,94105
913151,399,8/31/2015 18:18,Castro Street and El Camino Real,32,8/31/2015 18:25,Mountain View Caltrain Station,28,175,Subscriber,94040
913150,534,8/31/2015 18:18,Temporary Transbay Terminal (Howard at Beale),55,8/31/2015 18:27,San Francisco Caltrain 2 (330 Townsend),69,431,Subscriber,94062
913149,599,8/31/2015 18:17,Davis at Jackson,42,8/31/2015 18:27,Powell at Post (Union Square),71,489,Subscriber,94109
913148,667,8/31/2015 18:17,Yerba Buena Center of the Arts (3rd @ Howard),68,8/31/2015 18:29,Steuart at Market,74,579,Customer,90007
913147,353,8/31/2015 18:17,Powell Street BART,39,8/31/2015 18:23,Mechanics Plaza (Market at Battery),75,469,Subscriber,94103
913146,456,8/31/2015 18:16,Embarcadero at Sansome,60,8/31/2015 18:24,Harry Bridges Plaza (Ferry Building),50,583,Subscriber,94566
913145,461,8/31/2015 18:16,2nd at Folsom,62,8/31/2015 18:24,San Francisco Caltrain 2 (330 Townsend),69,606,Subscriber,95125
913144,990,8/31/2015 18:15,Broadway St at Battery St,82,8/31/2015 18:31,San Francisco Caltrain (Townsend at 4th),70,527,Subscriber,94303
913142,356,8/31/2015 18:15,Broadway St at Battery St,82,8/31/2015 18:21,Temporary Transbay Terminal (Howard at Beale),55,589,Subscriber,94602
